Sr. No.,Structure Name/Gate No,Division,Circle,Zone,Inspection Year,Inspection Type,Issue/Problem,Recommendation,"Rectification/
Action Taken",Condition,Domain,Latitude ,Longitude,Inspection Type Inspection Year
2037,Barrage Gate No. 48,Qadirabad Barrage  Division,QB Link Circle,Faisalabad,2023-2024,Closure,Side seals were damaged at different positions.,Damaged side seals should be addressed.,,Poor,Mechanical,32.31743,73.68717,Closure 2023-2024
2038,Barrage Gate No. 48,Qadirabad Barrage  Division,QB Link Circle,Faisalabad,2023-2024,Closure,Shaft deflection was observed in the connecting shaft during upward movement of gate.,Misaligned/deflected connecting shaft should be addressed by decreasing the unsupported length of the shaft with the addition of more supporting brackets.,,Fair,Mechanical,32.31743,73.68717,Closure 2023-2024
2039,Barrage Gate No. 49,Qadirabad Barrage  Division,QB Link Circle,Faisalabad,2023-2024,Closure,Side seals were damaged at different positions.,Damaged side seals should be addressed.,,Poor,Mechanical,32.31727,73.68724,Closure 2023-2024
2040,Barrage Gate No. 50,Qadirabad Barrage  Division,QB Link Circle,Faisalabad,2023-2024,Closure,Side seals were damaged at different positions.,Damaged side seals should be addressed.,,Poor,Mechanical,32.31712,73.68733,Closure 2023-2024
2041,Barrage Gate No. 50,Qadirabad Barrage  Division,QB Link Circle,Faisalabad,2023-2024,Closure,Shaft deflection was observed in the connecting shaft during upward movement of gate.,Misaligned/deflected connecting shaft should be addressed by decreasing the unsupported length of the shaft with the addition of more supporting brackets.,,Fair,Mechanical,32.31712,73.68733,Closure 2023-2024
2042,Barrage Gate No. 50,Qadirabad Barrage  Division,QB Link Circle,Faisalabad,2023-2024,Closure,Oil leakage was observed in the gear box.,Damaged sealing of gear box should be replaced.,,Satisfactory,Mechanical,32.31712,73.68733,Closure 2023-2024
2043,LBDC Gate No. 01,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220431,73.861379,Closure 2024-2025
2044,LBDC Gate No. 02,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Covers of drum & Pinion were not installed 
	A single tooth of pinion was found broken","Drum gears and pinions cover should be installed 
Broken tooth of pinion should be addressed",,Satisfactory,Mechanical,31.220398,73.861301,Closure 2024-2025
2045,LBDC Gate No. 03,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220371,73.861239,Closure 2024-2025
2046,LBDC Gate No. 04,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220351,73.861161,Closure 2024-2025
2047,LBDC Gate No. 05,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220332,73.861092,Closure 2024-2025
2048,LBDC Gate No. 06,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220308,73.861021,Closure 2024-2025
2049,LBDC Gate No. 07,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220278,73.860956,Closure 2024-2025
2050,LBDC Gate No. 08,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220252,73.860871,Closure 2024-2025
2051,LBDC Gate No. 09,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220222,73.860812,Closure 2024-2025
2052,LBDC Gate No. 10,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220199,73.860746,Closure 2024-2025
2053,LBDC Gate No. 11,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220179,73.860678,Closure 2024-2025
2054,LBDC Gate No. 12,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.22016,73.860612,Closure 2024-2025
2055,LBDC Gate No. 13,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220143,73.860547,Closure 2024-2025
2056,LBDC Gate No. 14,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220113,73.860461,Closure 2024-2025
2057,LBDC Gate No. 15,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Drum gears and pinions cover should be installed ,,Satisfactory,Mechanical,31.220098,73.860411,Closure 2024-2025
2058,Old BS Link Canal Gate No. 01,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Gear oil leakages were observed
Inspection window of drum gear cover was broken","Gear oil leakages should be addressed
Broken drum gear inspection windows  Should be addressed",,Satisfactory,Mechanical,31.220328,73.861968,Closure 2024-2025
2059,Old BS Link Canal Gate No. 02,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Gear oil leakages were observed
Inspection window of drum gear cover was broken","Gear oil leakages should be addressed
Broken drum gear inspection windows  Should be addressed",,Satisfactory,Mechanical,31.220352,73.862049,Closure 2024-2025
2060,Old BS Link Canal Gate No. 03,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Gear oil leakages were observed
Inspection window of drum gear cover was broken","Gear oil leakages should be addressed
Broken drum gear inspection windows  Should be addressed",,Satisfactory,Mechanical,31.220387,73.862141,Closure 2024-2025
2061,Old BS Link Canal Gate No. 04,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.220405,73.862233,Closure 2024-2025
2062,Old BS Link Canal Gate No. 05,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Gear oil leakages were observed,Gear oil leakages should be addressed,,Satisfactory,Mechanical,31.220436,73.862314,Closure 2024-2025
2063,Old BS Link Canal Gate No. 06,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Gear oil leakages were observed,Gear oil leakages should be addressed,,Satisfactory,Mechanical,31.220465,73.862393,Closure 2024-2025
2064,Old BS Link Canal Gate No. 07,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Gear oil leakages were observed
Inspection window of drum gear cover was broken","Gear oil leakages should be addressed
Broken drum gear inspection windows  Should be addressed",,Satisfactory,Mechanical,31.220496,73.862484,Closure 2024-2025
2065,Old BS Link Canal Gate No. 08,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Inspection window of drum gear cover was broken,,,Satisfactory,Mechanical,31.220527,73.862568,Closure 2024-2025
2066,Old BS Link Canal Gate No. 09,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Gear oil leakages were observed
Inspection window of drum gear cover was broken","Gear oil leakages should be addressed
Broken drum gear inspection windows  Should be addressed",,Satisfactory,Mechanical,31.220548,73.862655,Closure 2024-2025
2067,Old BS Link Canal Gate No. 10,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Inspection window of drum gear cover was broken,Broken drum gear inspection windows  Should be addressed,,Satisfactory,Mechanical,31.220576,73.862735,Closure 2024-2025
2068,Old BS Link Canal Gate No. 11,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Inspection window of drum gear cover was broken,Broken drum gear inspection windows  Should be addressed,,Satisfactory,Mechanical,31.220611,73.862829,Closure 2024-2025
2069,New BS Link Canal Gate No. 01,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.220756,73.863256,Closure 2024-2025
2070,New BS Link Canal Gate No. 02,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken,Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.220779,73.863333,Closure 2024-2025
2071,New BS Link Canal Gate No. 03,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken,Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.220798,73.863418,Closure 2024-2025
2072,New BS Link Canal Gate No. 04,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.220812,73.863496,Closure 2024-2025
2073,New BS Link Canal Gate No. 05,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.220827,73.863553,Closure 2024-2025
2074,New BS Link Canal Gate No. 06,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken,Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.220833,73.863592,Closure 2024-2025
2075,New BS Link Canal Gate No. 07,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken,Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.220859,73.863699,Closure 2024-2025
2076,New BS Link Canal Gate No. 08,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken,Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.220881,73.863796,Closure 2024-2025
2077,Gate No. 01,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Gear oil leakages were observed
Covers of drum & Pinion were not installed","Gear oil leakages should be addressed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.220167,73.860181,Closure 2024-2025
2078,Gate No. 02,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Counterweight covers were missing 
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed
Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed  ",,Satisfactory,Mechanical,31.220284,73.860126,Closure 2024-2025
2079,Gate No. 03,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.220412,73.860066,Closure 2024-2025
2080,Gate No. 04,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.220515,73.860005,Closure 2024-2025
2081,Gate No. 05,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.220637,73.859958,Closure 2024-2025
2082,Gate No. 06,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22076,73.859894,Closure 2024-2025
2083,Gate No. 07,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22088,73.859834,Closure 2024-2025
2084,Gate No. 08,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.221003,73.859763,Closure 2024-2025
2085,Gate No. 09,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22112,73.859716,Closure 2024-2025
2086,Gate No. 10,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22124,73.859658,Closure 2024-2025
2087,Gate No. 11,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.221374,73.859594,Closure 2024-2025
2088,Gate No. 12,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed",Missing counterweight covers Should be Installed,,Satisfactory,Mechanical,31.221477,73.859537,Closure 2024-2025
2089,Gate No. 13,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed",Offset pinion and drum gear should be addressed ,,Satisfactory,Mechanical,31.221595,73.859487,Closure 2024-2025
2090,Gate No. 14,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22172,73.859421,Closure 2024-2025
2091,Gate No. 15,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing
 Gear oil leakages were observed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.221838,73.859369,Closure 2024-2025
2092,Gate No. 16,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.221949,73.859302,Closure 2024-2025
2093,Gate No. 17,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22208,73.859231,Closure 2024-2025
2094,Gate No. 18,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Offset pinion and drum gear should be addressed 
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.222185,73.85918,Closure 2024-2025
2095,Gate No. 19,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Bearing bracket of pinion shaft was broken 
Covers of drum & Pinion were not installed","Broken (welded) bearing bracket of pinion shaft should be replaced
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.2223,73.859121,Closure 2024-2025
2096,Gate No. 20,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.222415,73.859064,Closure 2024-2025
2097,Gate No. 21,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.222543,73.859,Closure 2024-2025
2098,Gate No. 22,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.222664,73.858941,Closure 2024-2025
2099,Gate No. 23,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.222773,73.858887,Closure 2024-2025
2100,Gate No. 24,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.222898,73.85883,Closure 2024-2025
2101,Gate No. 25,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223015,73.858763,Closure 2024-2025
2102,Gate No. 26,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223121,73.858713,Closure 2024-2025
2103,Gate No. 27,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223265,73.858645,Closure 2024-2025
2104,Gate No. 28,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.22337,73.85859,Closure 2024-2025
2105,Gate No. 29,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion was offset
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223489,73.858541,Closure 2024-2025
2106,Gate No. 30,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223619,73.858481,Closure 2024-2025
2107,Gate No. 31,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223733,73.85843,Closure 2024-2025
2108,Gate No. 32,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.223844,73.858358,Closure 2024-2025
2109,Gate No. 33,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Covers of drum & Pinion were not installed,Missing counterweight covers Should be Installed,,Satisfactory,Mechanical,31.223964,73.858296,Closure 2024-2025
2110,Gate No. 34,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed",Missing counterweight covers Should be Installed,,Satisfactory,Mechanical,31.224074,73.858242,Closure 2024-2025
2111,Gate No. 35,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Counterweight covers were missing 
Covers of drum & Pinion were not installed","Missing counterweight covers Should be Installed
Drum gears and pinions cover should be installed ",,Satisfactory,Mechanical,31.224174,73.858182,Closure 2024-2025
2112,New Spillways Gate No. 01,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,"Pinion covers was broken
Gear oil leakages were observed"," Broken pinion cover should be addressed
Gear oil leakages should be addressed",,Satisfactory,Mechanical,31.225197,73.857696,Closure 2024-2025
2113,New Spillways Gate No. 02,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken, Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.225306,73.857641,Closure 2024-2025
2114,New Spillways Gate No. 03,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken, Broken pinion cover should be addressed,,Satisfactory,Mechanical,31.225442,73.857585,Closure 2024-2025
2115,New Spillways Gate No. 04,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.22555,73.857527,Closure 2024-2025
2116,New Spillways Gate No. 05,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Gear oil leakages were observed,Gear oil leakages should be addressed,,Satisfactory,Mechanical,31.225656,73.857468,Closure 2024-2025
2117,New Spillways Gate No. 06,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.225762,73.857418,Closure 2024-2025
2118,New Spillways Gate No. 07,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.225881,73.857358,Closure 2024-2025
2119,New Spillways Gate No. 08,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.225992,73.85731,Closure 2024-2025
2120,New Spillways Gate No. 09,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.226111,73.857248,Closure 2024-2025
2121,New Spillways Gate No. 10,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken, Broken pinion covers should be addressed,,Satisfactory,Mechanical,31.226223,73.857196,Closure 2024-2025
2122,New Spillways Gate No. 11,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.226347,73.857141,Closure 2024-2025
2123,New Spillways Gate No. 12,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken, Broken pinion covers should be addressed,,Satisfactory,Mechanical,31.226451,73.857089,Closure 2024-2025
2124,New Spillways Gate No. 13,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.226565,73.857034,Closure 2024-2025
2125,New Spillways Gate No. 14,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.226681,73.856991,Closure 2024-2025
2126,New Spillways Gate No. 15,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,31.226785,73.856932,Closure 2024-2025
2127,New Spillways Gate No. 16,Balloki Headworks Division,LBDC Circle,Sahiwal,2024-2025,Closure,Pinion cover was broken, Broken pinion covers should be addressed,,Satisfactory,Mechanical,31.226882,73.856879,Closure 2024-2025
2128,Pakpattan Canal Gate No. 01,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.379909,73.863593,Closure 2024-2025
2129,Pakpattan Canal Gate No. 02,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.379963,73.863611,Closure 2024-2025
2130,Pakpattan Canal Gate No. 03,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.380025,73.863638,Closure 2024-2025
2131,Pakpattan Canal Gate No. 04,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.380095,73.863665,Closure 2024-2025
2132,Pakpattan Canal Gate No. 05,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.380158,73.86369,Closure 2024-2025
2133,Pakpattan Canal Gate No. 06,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.38022,73.863713,Closure 2024-2025
2134,Pakpattan Canal Gate No. 07,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.380278,73.863734,Closure 2024-2025
2135,Pakpattan Canal Gate No. 08,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.380341,73.863756,Closure 2024-2025
2136,Eastern Sadiqia Canal Gate No. 01,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376896,73.870266,Closure 2024-2025
2137,Eastern Sadiqia Canal Gate No. 02,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376844,73.870204,Closure 2024-2025
2138,Eastern Sadiqia Canal Gate No. 03,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376797,73.87015,Closure 2024-2025
2139,Eastern Sadiqia Canal Gate No. 04,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376754,73.870094,Closure 2024-2025
2140,Eastern Sadiqia Canal Gate No. 05,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376708,73.870037,Closure 2024-2025
2141,Eastern Sadiqia Canal Gate No. 06,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376656,73.869985,Closure 2024-2025
2142,Eastern Sadiqia Canal Gate No. 07,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376612,73.869934,Closure 2024-2025
2143,Fordwah Canal Gate No. 01,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376558,73.869872,Closure 2024-2025
2144,Fordwah Canal Gate No. 02,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.37651,73.86982,Closure 2024-2025
2145,Fordwah Canal Gate No. 03,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376464,73.869769,Closure 2024-2025
2146,Fordwah Canal Gate No. 04,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376419,73.86971,Closure 2024-2025
2147,Fordwah Canal Gate No. 05,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376373,73.869661,Closure 2024-2025
2148,Left Under Sluice Gate No. 01,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376219,73.869403,Closure 2024-2025
2149,Left Under Sluice Gate No. 02,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376265,73.869331,Closure 2024-2025
2150,Left Under Sluice Gate No. 03,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376312,73.869244,Closure 2024-2025
2151,Left Under Sluice Gate No. 04,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.376365,73.869145,Closure 2024-2025
2152,Left Under Sluice Gate No. 05,Suleimanki Headworks Division,Nili Bar Canal Circle,Sahiwal,2024-2025,Closure,,,,Satisfactory,Mechanical,30.37642,73.869043,Closure 2024-2025
